-12.11609,-77.02937
-12.11608,-77.02937
-12.11592,-77.0294
-12.11482,-77.02958
-12.11447,-77.02964
-12.11402,-77.02972
-12.11386,-77.02975
-12.11377,-77.02977
-12.1137,-77.02978
-12.11362,-77.02979
-12.11333,-77.02984
-12.11333,-77.02984
-12.11313,-77.02988
-12.11264,-77.02998
-12.11182,-77.03011
-12.11162,-77.03015
-12.11058,-77.03032
-12.11019,-77.03039
-12.11019,-77.03039
-12.10954,-77.03049
-12.10931,-77.03053
-12.10906,-77.03057
-12.10878,-77.03062
-12.10772,-77.0308
-12.10716,-77.03089
-12.10673,-77.03096
-12.10664,-77.03098
-12.10656,-77.03099
-12.10612,-77.03107
-12.10612,-77.03107
-12.10578,-77.03112
-12.10559,-77.03115
-12.10509,-77.03124
-12.10451,-77.03134
-12.10377,-77.03146
-12.10356,-77.0315
-12.10351,-77.03151
-12.10345,-77.03152
-12.10264,-77.03165
-12.10264,-77.03165
-12.10236,-77.0317
-12.10179,-77.03179
-12.10131,-77.03188
-12.1007,-77.03199
-12.10067,-77.03199
-12.10046,-77.03203
-12.10031,-77.03205
-12.10023,-77.03207
-12.09985,-77.03213
-12.09967,-77.03216
-12.0994,-77.0322
-12.0994,-77.0322
-12.09916,-77.03225
-12.09886,-77.0323
-12.09855,-77.03233
-12.09815,-77.03239
-12.09808,-77.0324
-12.09798,-77.03241
-12.09727,-77.0325
-12.09705,-77.03253
-12.09656,-77.03262
-12.09617,-77.03269
-12.09595,-77.03273
-12.09595,-77.03273
-12.09561,-77.03278
-12.09553,-77.03279
-12.09542,-77.0328
-12.09458,-77.03293
-12.09441,-77.03295
-12.09429,-77.03297
-12.09393,-77.03303
-12.09376,-77.03306
-12.09353,-77.0331
-12.09353,-77.0331
-12.09321,-77.03316
-12.09321,-77.03316
-12.09239,-77.03329
-12.09239,-77.03329
-12.09173,-77.03337
-12.09173,-77.03337
-12.09118,-77.03346
-12.09118,-77.03346
-12.09095,-77.03347
-12.09095,-77.03347
-12.09069,-77.03351
-12.09059,-77.03352
-12.09053,-77.03353
-12.09033,-77.03356
-12.09033,-77.03356
-12.08992,-77.03361
-12.08976,-77.03362
-12.08919,-77.03371
-12.08919,-77.03371
-12.08915,-77.03372
-12.08901,-77.03374
-12.08866,-77.03379
-12.08845,-77.03382
-12.08826,-77.03384
-12.08826,-77.03384
-12.08807,-77.03387
-12.08795,-77.03389
-12.08732,-77.03399
-12.08732,-77.03399
-12.08727,-77.034
-12.08702,-77.03403
-12.08693,-77.03405
-12.08686,-77.03405
-12.08628,-77.03413
-12.08608,-77.03416
-12.08608,-77.03416
-12.08566,-77.03423
-12.08479,-77.03437
-12.08473,-77.03438
-12.08473,-77.03438
-12.0847,-77.03438
-12.0846,-77.0344
-12.08455,-77.0344
-12.08368,-77.03451
-12.08368,-77.03451
-12.08357,-77.03452
-12.08347,-77.03454
-12.08274,-77.03465
-12.0827,-77.03465
-12.0827,-77.03465
-12.08252,-77.03468
-12.08242,-77.03469
-12.08236,-77.03471
-12.08135,-77.03487
-12.08131,-77.03488
-12.08116,-77.03489
-12.08116,-77.03489
-12.08087,-77.03493
-12.08083,-77.03493
-12.08082,-77.03493
-12.08073,-77.03494
-12.08067,-77.03495
-12.08065,-77.03496
-12.08003,-77.03505
-12.08003,-77.03505
-12.07989,-77.03507
-12.07966,-77.03511
-12.0791,-77.03519
-12.0791,-77.03519
-12.07858,-77.03527
-12.07772,-77.03541
-12.07772,-77.03541
-12.07771,-77.03541
-12.07688,-77.03553
-12.07664,-77.03557
-12.07647,-77.03559
-12.07647,-77.03559
-12.07565,-77.03572
-12.07556,-77.03573
-12.07549,-77.03574
-12.07504,-77.0358
-12.07504,-77.0358
-12.07466,-77.03586
-12.07463,-77.03586
-12.07453,-77.03588
-12.07445,-77.03589
-12.07441,-77.03589
-12.07369,-77.03601
-12.07358,-77.03603
-12.07358,-77.03603
-12.07349,-77.03605
-12.07342,-77.03606
-12.07335,-77.03607
-12.07312,-77.03611
-12.07239,-77.03621
-12.07204,-77.03626
-12.07204,-77.03626
-12.07165,-77.03632
-12.07127,-77.03637
-12.07023,-77.03653
-12.07015,-77.03654
-12.07015,-77.03654
-12.06961,-77.03663
-12.06955,-77.03664
-12.06919,-77.03669
-12.06886,-77.03675
-12.06839,-77.03681
-12.06837,-77.03682
-12.06837,-77.03682
-12.06829,-77.03683
-12.06824,-77.03684
-12.06705,-77.03698
-12.06699,-77.03699
-12.06692,-77.037
-12.06692,-77.037
-12.06654,-77.03712
-12.06654,-77.03712
-12.06614,-77.03719
-12.06613,-77.03719
-12.06613,-77.03719
-12.06556,-77.03728
-12.06534,-77.03731
-12.06534,-77.03731
-12.06461,-77.03743
-12.06461,-77.03743
-12.06392,-77.03752
-12.06392,-77.03752
-12.06346,-77.03754
-12.06217,-77.03765
-12.06205,-77.03766
-12.06205,-77.03766
-12.06129,-77.03772
-12.06057,-77.03778
-12.06057,-77.03778
-12.0597,-77.03784
-12.0597,-77.03784
-12.05968,-77.03785
-12.05881,-77.03792
-12.05804,-77.03799
-12.05802,-77.03799
-12.05802,-77.03799
-12.058,-77.03799
-12.05785,-77.038
-12.05778,-77.03801
-12.05769,-77.03802
-12.05692,-77.03808
-12.05621,-77.03814
-12.05621,-77.03814
-12.05621,-77.03814
-12.05598,-77.03815
-12.05587,-77.03816
-12.05577,-77.03817
-12.05511,-77.03823
-12.05495,-77.03824
-12.05494,-77.03824
-12.05453,-77.03827
-12.05453,-77.03827
-12.05453,-77.03827
-12.05434,-77.03829
